event_date,region,tower_id,total_calls,dropped_calls,avg_latency_ms,avg_signal_strength_dbm,poor_quality_calls,drop_rate_pct
2026-07-01,Midwest,MW-TWR-001,2,0,129.045,-106.88,2,0.0
2026-07-01,Northwest,NW-TWR-001,1,0,191.13,-79.02,1,0.0
2026-07-01,Northwest,NW-TWR-002,1,0,245.29,-102.09,1,0.0
2026-07-01,Northwest,NW-TWR-003,1,0,255.62,-112.12,1,0.0
2026-07-01,Southeast,SE-TWR-002,2,0,142.56,-87.3,1,0.0
2026-07-01,Southwest,SW-TWR-001,1,0,120.15,-67.15,0,0.0
2026-07-01,Southwest,SW-TWR-003,4,0,227.29500000000002,-93.255,4,0.0
2026-07-02,Midwest,MW-TWR-001,2,1,259.23,-80.655,2,50.0
2026-07-02,Midwest,MW-TWR-003,1,0,255.98,-94.67,1,0.0
2026-07-02,Northwest,NW-TWR-001,2,0,237.59,-116.42,2,0.0
2026-07-02,Northwest,NW-TWR-002,2,0,116.19,-96.35499999999999,1,0.0
2026-07-02,Southeast,SE-TWR-002,1,0,232.92,-82.19,1,0.0
2026-07-02,Southwest,SW-TWR-001,1,0,162.38,-99.16,1,0.0
2026-07-02,Southwest,SW-TWR-002,1,0,243.64,-90.99,1,0.0
2026-07-02,Southwest,SW-TWR-003,2,0,50.53,-99.64,0,0.0
2026-07-03,Midwest,MW-TWR-002,2,0,228.375,-106.98,2,0.0
2026-07-03,Midwest,MW-TWR-003,1,0,129.87,-113.12,1,0.0
2026-07-03,Northwest,NW-TWR-002,1,0,239.38,-91.62,1,0.0
2026-07-03,Southeast,SE-TWR-001,1,0,73.24,-84.78,0,0.0
2026-07-03,Southeast,SE-TWR-002,3,0,113.88,-93.23333333333333,1,0.0
2026-07-03,Southeast,SE-TWR-003,1,0,124.15,-103.43,0,0.0
2026-07-03,Southwest,SW-TWR-001,1,0,139.69,-79.31,0,0.0
2026-07-04,Midwest,MW-TWR-001,2,0,229.985,-79.70500000000001,2,0.0
2026-07-04,Midwest,MW-TWR-002,1,0,185.05,-66.9,1,0.0
2026-07-04,Midwest,MW-TWR-003,1,0,270.33,-76.12,1,0.0
2026-07-04,Northwest,NW-TWR-001,1,0,167.47,-84.68,1,0.0
2026-07-04,Northwest,NW-TWR-002,1,0,226.3,-121.43,1,0.0
2026-07-04,Northwest,NW-TWR-003,1,0,104.71,-88.26,0,0.0
2026-07-04,Southeast,SE-TWR-002,1,0,133.57,-94.34,0,0.0
2026-07-04,Southwest,SW-TWR-001,1,0,111.51,-102.91,0,0.0
2026-07-05,Midwest,MW-TWR-001,1,0,194.04,-105.57,1,0.0
2026-07-05,Northwest,NW-TWR-001,1,0,213.19,-115.66,1,0.0
2026-07-05,Northwest,NW-TWR-003,2,1,123.265,-85.695,1,50.0
2026-07-05,Southeast,SE-TWR-002,3,0,197.92333333333332,-107.17333333333333,2,0.0
2026-07-05,Southwest,SW-TWR-001,1,0,35.79,-115.97,1,0.0
2026-07-06,Midwest,MW-TWR-002,1,0,125.37,-86.16,0,0.0
2026-07-06,Northwest,NW-TWR-001,1,0,196.27,-111.76,1,0.0
2026-07-06,Northwest,NW-TWR-002,1,0,242.01,-83.54,1,0.0
2026-07-06,Southeast,SE-TWR-001,1,0,25.46,-84.1,0,0.0
2026-07-06,Southeast,SE-TWR-003,2,0,126.375,-109.375,2,0.0
2026-07-06,Southwest,SW-TWR-002,1,0,84.24,-122.88,1,0.0
2026-07-06,Southwest,SW-TWR-003,2,0,32.73,-91.08500000000001,0,0.0
2026-07-07,Northwest,NW-TWR-001,1,0,265.68,-106.94,1,0.0
2026-07-07,Northwest,NW-TWR-003,1,0,123.92,-103.28,0,0.0
2026-07-07,Southeast,SE-TWR-001,1,0,54.81,-98.04,0,0.0
2026-07-07,Southeast,SE-TWR-002,2,0,141.68,-103.46000000000001,2,0.0
2026-07-07,Southwest,SW-TWR-001,3,1,113.08666666666666,-83.04666666666667,2,33.33
2026-07-07,Southwest,SW-TWR-003,3,0,111.24666666666667,-96.14,2,0.0
2026-07-08,Midwest,MW-TWR-001,1,0,182.94,-101.48,1,0.0
2026-07-08,Midwest,MW-TWR-003,1,0,193.93,-106.81,1,0.0
2026-07-08,Northwest,NW-TWR-001,2,0,146.675,-89.765,1,0.0
2026-07-08,Northwest,NW-TWR-003,1,0,128.1,-97.12,0,0.0
2026-07-08,Southeast,SE-TWR-001,6,0,162.74166666666667,-85.71333333333332,5,0.0
2026-07-08,Southeast,SE-TWR-002,2,0,53.875,-115.015,2,0.0
2026-07-09,Midwest,MW-TWR-001,1,0,36.41,-116.75,1,0.0
2026-07-09,Northwest,NW-TWR-001,1,0,234.45,-72.98,1,0.0
2026-07-09,Northwest,NW-TWR-003,2,0,47.335,-114.96000000000001,2,0.0
2026-07-09,Southeast,SE-TWR-002,2,0,121.19,-106.575,1,0.0
2026-07-09,Southeast,SE-TWR-003,2,0,154.48499999999999,-105.41,1,0.0
2026-07-09,Southwest,SW-TWR-001,1,1,60.71,-113.79,1,100.0
2026-07-10,Midwest,MW-TWR-001,1,0,89.47,-118.09,1,0.0
2026-07-10,Midwest,MW-TWR-002,1,0,46.31,-120.48,1,0.0
2026-07-10,Midwest,MW-TWR-003,2,0,261.13,-94.585,2,0.0
2026-07-10,Northwest,NW-TWR-002,2,0,185.42000000000002,-113.535,2,0.0
2026-07-10,Southeast,SE-TWR-001,1,0,76.58,-110.52,1,0.0
2026-07-10,Southeast,SE-TWR-002,3,0,176.46666666666667,-95.28666666666668,2,0.0
2026-07-10,Southeast,SE-TWR-003,2,0,126.705,-97.65,1,0.0
2026-07-10,Southwest,SW-TWR-001,1,0,38.6,-66.45,0,0.0
2026-07-10,Southwest,SW-TWR-003,1,0,256.86,-124.36,1,0.0
2026-07-11,Midwest,MW-TWR-001,1,0,239.31,-69.64,1,0.0
2026-07-11,Southeast,SE-TWR-003,2,1,153.775,-115.535,2,50.0
2026-07-11,Southwest,SW-TWR-001,1,0,188.24,-116.68,1,0.0
2026-07-11,Southwest,SW-TWR-002,1,0,165.44,-110.78,1,0.0
2026-07-11,Southwest,SW-TWR-003,1,0,153.8,-102.03,1,0.0
2026-07-12,Midwest,MW-TWR-002,1,0,165.74,-101.85,1,0.0
2026-07-12,Northwest,NW-TWR-003,1,0,15.26,-79.58,0,0.0
2026-07-12,Southeast,SE-TWR-002,1,0,117.29,-114.61,1,0.0
2026-07-12,Southwest,SW-TWR-001,4,0,152.82,-85.62,2,0.0
2026-07-12,Southwest,SW-TWR-003,1,0,153.17,-99.37,1,0.0
2026-07-13,Midwest,MW-TWR-001,1,0,160.15,-73.01,1,0.0
2026-07-13,Midwest,MW-TWR-002,1,0,230.85,-80.65,1,0.0
2026-07-13,Midwest,MW-TWR-003,3,0,147.5,-71.95,1,0.0
2026-07-13,Northwest,NW-TWR-001,2,0,198.23,-87.71,2,0.0
2026-07-13,Northwest,NW-TWR-002,1,0,232.18,-124.64,1,0.0
2026-07-13,Northwest,NW-TWR-003,1,0,224.84,-68.64,1,0.0
2026-07-13,Southeast,SE-TWR-002,1,0,19.5,-103.35,0,0.0
2026-07-13,Southeast,SE-TWR-003,1,0,167.1,-68.36,1,0.0
2026-07-13,Southwest,SW-TWR-003,1,0,143.06,-99.87,0,0.0
2026-07-14,Midwest,MW-TWR-001,1,0,97.16,-100.39,0,0.0
2026-07-14,Midwest,MW-TWR-002,3,0,94.69666666666667,-92.44333333333333,1,0.0
2026-07-14,Midwest,MW-TWR-003,1,0,262.91,-112.64,1,0.0
2026-07-14,Northwest,NW-TWR-001,1,0,82.45,-74.88,0,0.0
2026-07-14,Northwest,NW-TWR-003,2,0,117.645,-82.95500000000001,1,0.0
2026-07-14,Southeast,SE-TWR-001,1,0,146.47,-70.56,0,0.0
2026-07-14,Southeast,SE-TWR-002,2,0,143.49,-105.12,1,0.0
2026-07-14,Southeast,SE-TWR-003,3,0,136.86666666666667,-112.13,2,0.0
2026-07-14,Southwest,SW-TWR-001,1,0,97.45,-113.58,1,0.0
2026-07-14,Southwest,SW-TWR-003,3,1,167.58666666666667,-101.76666666666667,3,33.33
2026-07-15,Midwest,MW-TWR-003,1,0,156.62,-69.74,1,0.0
2026-07-15,Northwest,NW-TWR-001,1,1,178.72,-69.03,1,100.0
2026-07-15,Northwest,NW-TWR-002,1,0,81.63,-81.39,0,0.0
2026-07-15,Southeast,SE-TWR-001,1,0,81.21,-86.92,0,0.0
