cdr_id,subscriber_id,call_start_time,call_end_time,duration_seconds,source_tower_id,destination_tower_id,call_type,call_status,roaming_flag,network_type,signal_strength_dbm,latency_ms,region
CDR-0000001,SUB-00061,2026-07-03T21:00:00,2026-07-03T21:17:47,1067,SE-TWR-003,NW-TWR-003,VOLTE,COMPLETED,Y,5G,-103.43,124.15,Southeast
CDR-0000002,SUB-00006,2026-07-02T19:15:00,2026-07-02T19:26:23,683,SW-TWR-001,MW-TWR-002,VOLTE,COMPLETED,N,5G,-99.16,162.38,Southwest
CDR-0000003,SUB-00065,2026-07-09T17:38:00,2026-07-09T18:03:56,1556,SW-TWR-001,MW-TWR-003,VIDEO,DROPPED,N,5G,-113.79,60.71,Southwest
CDR-0000004,SUB-00042,2026-07-14T03:27:00,2026-07-14T03:31:40,280,SE-TWR-002,SW-TWR-003,VOICE,COMPLETED,N,5G,-116.76,184.6,Southeast
CDR-0000005,SUB-00032,2026-07-26T00:53:00,2026-07-26T01:13:30,1230,SE-TWR-003,MW-TWR-001,VOLTE,COMPLETED,Y,5G,-110.2,72.06,Southeast
CDR-0000006,SUB-00071,2026-07-18T12:03:00,2026-07-18T12:17:53,893,MW-TWR-002,MW-TWR-002,VIDEO,COMPLETED,N,5G,-103.48,49.34,Midwest
CDR-0000007,SUB-00065,2026-07-03T13:56:00,2026-07-03T14:09:44,824,SW-TWR-001,MW-TWR-003,VOICE,COMPLETED,N,5G,-79.31,139.69,Southwest
CDR-0000008,SUB-00088,2026-07-12T22:11:00,2026-07-12T22:32:09,1269,SE-TWR-002,NW-TWR-001,VOICE,COMPLETED,N,5G,-114.61,117.29,Southeast
CDR-0000009,SUB-00031,2026-07-02T20:44:00,2026-07-02T21:08:41,1481,SW-TWR-003,NW-TWR-003,VOLTE,COMPLETED,N,5G,-98.02,23.66,Southwest
CDR-0000010,SUB-00007,2026-07-26T13:58:00,2026-07-26T14:13:07,907,MW-TWR-001,MW-TWR-001,VOICE,COMPLETED,Y,5G,-69.25,259.62,Midwest
CDR-0000011,SUB-00040,2026-07-17T13:56:00,2026-07-17T14:06:07,607,SW-TWR-003,SE-TWR-002,VOICE,COMPLETED,Y,5G,-66.53,237.86,Southwest
CDR-0000012,SUB-00094,2026-07-01T14:16:00,2026-07-01T14:31:39,939,NW-TWR-001,SW-TWR-002,VOLTE,COMPLETED,N,5G,-79.02,191.13,Northwest
CDR-0000013,SUB-00039,2026-07-19T07:16:00,2026-07-19T07:17:42,102,NW-TWR-003,SE-TWR-001,VOLTE,COMPLETED,N,4G,-90.73,209.09,Northwest
CDR-0000014,SUB-00061,2026-07-14T10:13:00,2026-07-14T10:22:30,570,SW-TWR-003,NW-TWR-003,VIDEO,COMPLETED,N,5G,-109.95,140.14,Southwest
CDR-0000015,SUB-00067,2026-07-06T16:47:00,2026-07-06T17:06:34,1174,SE-TWR-003,SE-TWR-003,VOICE,COMPLETED,N,5G,-123.08,50.68,Southeast
CDR-0000016,SUB-00032,2026-07-05T14:13:00,2026-07-05T14:35:20,1340,SE-TWR-002,SE-TWR-002,VOICE,COMPLETED,N,5G,-118.66,242.98,Southeast
CDR-0000017,SUB-00076,2026-07-10T22:13:00,2026-07-10T22:33:04,1204,SE-TWR-001,SE-TWR-002,VOICE,COMPLETED,N,5G,-110.52,76.58,Southeast
CDR-0000018,SUB-00085,2026-07-28T02:08:00,2026-07-28T02:09:36,96,NW-TWR-002,SW-TWR-003,VIDEO,DROPPED,N,5G,-97.17,96.05,Northwest
CDR-0000019,SUB-00079,2026-07-24T02:14:00,2026-07-24T02:22:50,530,SE-TWR-003,SW-TWR-001,VOLTE,COMPLETED,N,5G,-89.02,210.63,Southeast
CDR-0000020,SUB-00032,2026-07-26T19:53:00,2026-07-26T20:16:43,1423,MW-TWR-002,MW-TWR-002,VOLTE,DROPPED,N,5G,-76.99,220.54,Midwest
CDR-0000021,SUB-00081,2026-07-06T06:29:00,2026-07-06T06:35:02,362,SE-TWR-001,SE-TWR-002,VOLTE,FAILED,N,5G,-84.1,25.46,Southeast
CDR-0000022,SUB-00054,2026-07-09T04:46:00,2026-07-09T05:06:36,1236,MW-TWR-001,MW-TWR-003,VOICE,COMPLETED,N,5G,-116.75,36.41,Midwest
CDR-0000023,SUB-00032,2026-07-07T23:06:00,2026-07-07T23:25:11,1151,SE-TWR-001,SW-TWR-002,VIDEO,COMPLETED,N,5G,-98.04,54.81,Southeast
CDR-0000024,SUB-00056,2026-07-16T01:36:00,2026-07-16T01:48:00,720,SW-TWR-001,MW-TWR-003,VOICE,COMPLETED,Y,5G,-85.13,115.43,Southwest
CDR-0000025,SUB-00033,2026-07-03T15:16:00,2026-07-03T15:20:04,244,SE-TWR-002,MW-TWR-001,VIDEO,COMPLETED,N,5G,-90.68,39.13,Southeast
CDR-0000026,SUB-00042,2026-07-09T10:54:00,2026-07-09T10:56:02,122,NW-TWR-003,SW-TWR-003,VOICE,COMPLETED,N,4G,-117.19,55.0,Northwest
CDR-0000027,SUB-00077,2026-07-12T10:49:00,2026-07-12T10:56:57,477,SW-TWR-001,SW-TWR-003,VOICE,COMPLETED,N,5G,-80.47,42.88,Southwest
CDR-0000028,SUB-00033,2026-07-19T05:11:00,2026-07-19T05:20:28,568,NW-TWR-002,SW-TWR-001,VOICE,COMPLETED,Y,5G,-110.68,270.14,Northwest
CDR-0000029,SUB-00061,2026-07-26T19:04:00,2026-07-26T19:24:24,1224,NW-TWR-003,SW-TWR-003,VIDEO,COMPLETED,N,4G,-98.1,219.07,Northwest
CDR-0000030,SUB-00071,2026-07-08T09:44:00,2026-07-08T09:52:56,536,MW-TWR-001,MW-TWR-002,VOLTE,COMPLETED,N,5G,-101.48,182.94,Midwest
CDR-0000031,SUB-00041,2026-07-19T17:32:00,2026-07-19T17:42:08,608,SW-TWR-002,SW-TWR-001,VIDEO,COMPLETED,N,5G,-90.84,174.01,Southwest
CDR-0000032,SUB-00053,2026-07-27T15:37:00,2026-07-27T15:40:09,189,MW-TWR-002,MW-TWR-002,VOICE,COMPLETED,N,5G,-77.29,259.41,Midwest
