event_id,event_time,tower_id,event_type,severity,latency_ms,packet_loss_pct,signal_strength_dbm,utilization_pct,availability_pct,region
NET-0000001,2026-07-17T22:01:00,SW-TWR-003,NORMAL_HEARTBEAT,INFO,200.23,0.08,-96.29,100.37,98.5551,Southwest
NET-0000002,2026-07-14T12:16:00,SW-TWR-002,CONGESTION,HIGH,211.92,6.45,-69.79,79.39,94.4117,Southwest
NET-0000003,2026-07-13T20:46:00,MW-TWR-003,SIGNAL_DEGRADATION,HIGH,62.64,7.54,-126.03,108.84,95.1942,Midwest
NET-0000004,2026-07-18T19:00:00,SW-TWR-001,SIGNAL_DEGRADATION,HIGH,275.1,11.26,-68.1,97.99,97.9822,Southwest
NET-0000005,2026-07-04T04:04:00,NW-TWR-001,HIGH_LATENCY,MEDIUM,186.43,6.5,-95.05,92.05,99.4455,Northwest
NET-0000006,2026-07-14T17:39:00,SE-TWR-001,HIGH_LATENCY,MEDIUM,96.86,2.56,-127.73,85.64,97.5186,Southeast
NET-0000007,2026-07-13T20:01:00,MW-TWR-001,NORMAL_HEARTBEAT,INFO,16.32,2.74,-93.58,35.93,96.9666,Midwest
NET-0000008,2026-07-27T00:55:00,MW-TWR-001,HIGH_LATENCY,HIGH,210.03,5.17,-98.97,70.14,94.0546,Midwest
NET-0000009,2026-07-04T13:22:00,SW-TWR-003,NORMAL_HEARTBEAT,INFO,116.74,3.8,-85.48,46.73,94.629,Southwest
NET-0000010,2026-07-18T12:02:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,175.44,10.13,-60.27,35.75,96.7156,Southwest
NET-0000011,2026-07-13T16:34:00,NW-TWR-002,HIGH_LATENCY,MEDIUM,199.43,9.44,-104.31,90.95,96.291,Northwest
NET-0000012,2026-07-16T16:59:00,SW-TWR-001,HIGH_LATENCY,HIGH,93.34,11.71,-123.47,98.76,95.2638,Southwest
NET-0000013,2026-07-22T19:57:00,SE-TWR-003,HIGH_LATENCY,LOW,100.0,5.64,-112.89,83.28,98.3119,Southeast
NET-0000014,2026-07-21T05:58:00,SW-TWR-001,HIGH_LATENCY,HIGH,84.13,9.07,-98.77,61.96,97.9502,Southwest
NET-0000015,2026-07-09T14:27:00,MW-TWR-003,SIGNAL_DEGRADATION,MEDIUM,294.51,14.41,-88.25,53.11,99.6411,Midwest
NET-0000016,2026-07-27T11:57:00,MW-TWR-003,NORMAL_HEARTBEAT,INFO,46.15,6.85,-75.75,80.32,99.8665,Midwest
NET-0000017,2026-07-13T20:00:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,339.41,14.02,-116.04,97.88,94.9931,Southeast
NET-0000018,2026-07-10T13:11:00,SE-TWR-003,PACKET_LOSS,MEDIUM,117.3,1.47,-94.46,19.78,99.4443,Southeast
NET-0000019,2026-07-28T23:53:00,SW-TWR-001,TOWER_RESTART,MEDIUM,183.0,9.1,-122.2,64.18,99.7903,Southwest
NET-0000020,2026-07-07T16:47:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,255.15,14.05,-65.25,59.1,99.978,Southeast
NET-0000021,2026-07-11T05:45:00,SW-TWR-003,HIGH_LATENCY,HIGH,346.6,14.21,-60.03,19.92,95.0336,Southwest
NET-0000022,2026-07-22T10:37:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,273.93,3.06,-65.2,30.65,94.5301,Southwest
NET-0000023,2026-07-07T04:50:00,SW-TWR-002,PACKET_LOSS,MEDIUM,46.95,7.82,-99.48,66.21,94.8181,Southwest
NET-0000024,2026-07-12T11:34:00,NW-TWR-002,NORMAL_HEARTBEAT,INFO,223.94,0.45,-75.96,44.41,95.7664,Northwest
