outage_id,tower_id,outage_start,outage_end,outage_type,root_cause,affected_subscribers,region
OUT-00001,MW-TWR-002,2026-07-12T23:00:00,2026-07-13T09:00:00,BACKHAUL_FAILURE,Fiber,4430,Midwest
OUT-00002,NW-TWR-001,2026-07-09T02:00:00,2026-07-09T11:00:00,POWER_FAILURE,Unknown,9989,Northwest
OUT-00003,MW-TWR-003,2026-07-03T00:00:00,2026-07-03T09:00:00,BACKHAUL_FAILURE,Unknown,3138,Midwest
OUT-00004,NW-TWR-002,2026-07-07T02:00:00,2026-07-07T09:00:00,PLANNED_MAINTENANCE,Unknown,1737,Northwest
OUT-00005,NW-TWR-001,2026-07-12T12:00:00,2026-07-12T20:00:00,PLANNED_MAINTENANCE,Unknown,5129,Northwest
OUT-00006,MW-TWR-001,2026-07-20T07:00:00,2026-07-20T17:00:00,SOFTWARE_ISSUE,Power,7496,Midwest
OUT-00007,SE-TWR-002,2026-07-10T08:00:00,2026-07-10T09:00:00,PLANNED_MAINTENANCE,Hardware,5489,Southeast
OUT-00008,SW-TWR-003,2026-07-24T20:00:00,2026-07-24T21:00:00,POWER_FAILURE,Hardware,4083,Southwest
OUT-00009,MW-TWR-003,2026-07-01T00:00:00,2026-07-01T02:00:00,BACKHAUL_FAILURE,Unknown,9769,Midwest
OUT-00010,SW-TWR-002,2026-07-08T12:00:00,2026-07-08T18:00:00,POWER_FAILURE,Unknown,8598,Southwest
OUT-00011,MW-TWR-002,2026-07-23T01:00:00,2026-07-23T06:00:00,POWER_FAILURE,Fiber,159,Midwest
OUT-00012,NW-TWR-002,2026-07-20T02:00:00,2026-07-20T08:00:00,PLANNED_MAINTENANCE,Unknown,2519,Northwest
OUT-00013,SE-TWR-001,2026-07-23T23:00:00,2026-07-24T01:00:00,SOFTWARE_ISSUE,Fiber,7671,Southeast
OUT-00014,SE-TWR-002,2026-07-19T18:00:00,2026-07-19T20:00:00,BACKHAUL_FAILURE,Software,53,Southeast
OUT-00015,SW-TWR-001,2026-07-26T12:00:00,2026-07-26T13:00:00,POWER_FAILURE,Fiber,856,Southwest
OUT-00016,SW-TWR-003,2026-07-05T10:00:00,2026-07-05T11:00:00,PLANNED_MAINTENANCE,Software,2740,Southwest
OUT-00017,MW-TWR-003,2026-07-08T19:00:00,2026-07-09T04:00:00,SOFTWARE_ISSUE,Fiber,3025,Midwest
OUT-00018,NW-TWR-002,2026-07-28T12:00:00,2026-07-28T18:00:00,PLANNED_MAINTENANCE,Fiber,8477,Northwest
OUT-00019,MW-TWR-003,2026-07-11T00:00:00,2026-07-11T03:00:00,PLANNED_MAINTENANCE,Hardware,3671,Midwest
OUT-00020,NW-TWR-002,2026-07-15T19:00:00,2026-07-15T20:00:00,SOFTWARE_ISSUE,Fiber,5530,Northwest
OUT-00021,SE-TWR-002,2026-07-06T11:00:00,2026-07-06T16:00:00,SOFTWARE_ISSUE,Power,1677,Southeast
OUT-00022,SE-TWR-003,2026-07-18T04:00:00,2026-07-18T09:00:00,BACKHAUL_FAILURE,Unknown,7646,Southeast
OUT-00023,NW-TWR-001,2026-07-04T10:00:00,2026-07-04T11:00:00,SOFTWARE_ISSUE,Hardware,9799,Northwest
OUT-00024,MW-TWR-002,2026-07-28T07:00:00,2026-07-28T12:00:00,PLANNED_MAINTENANCE,Unknown,2222,Midwest
OUT-00025,SE-TWR-003,2026-07-23T14:00:00,2026-07-23T18:00:00,POWER_FAILURE,Software,1828,Southeast
OUT-00026,MW-TWR-003,2026-07-10T05:00:00,2026-07-10T08:00:00,POWER_FAILURE,Hardware,7665,Midwest
OUT-00027,SW-TWR-002,2026-07-18T15:00:00,2026-07-18T23:00:00,SOFTWARE_ISSUE,Hardware,9981,Southwest
OUT-00028,NW-TWR-001,2026-07-27T10:00:00,2026-07-27T21:00:00,POWER_FAILURE,Software,1469,Northwest
OUT-00029,SE-TWR-003,2026-07-04T11:00:00,2026-07-04T20:00:00,SOFTWARE_ISSUE,Software,1627,Southeast
OUT-00030,SW-TWR-001,2026-07-14T10:00:00,2026-07-14T22:00:00,PLANNED_MAINTENANCE,Unknown,6949,Southwest
