activity_id,subscriber_id,activity_time,activity_type,data_usage_mb,device_type,network_type,roaming_flag,tower_id,region
ACT-0000001,SUB-00067,2026-07-19T08:29:00,APP_USAGE,2994.41,IOS,5G,N,SW-TWR-003,Southwest
ACT-0000002,SUB-00057,2026-07-20T13:43:00,DEVICE_ATTACH,2182.61,IOT,4G,N,NW-TWR-003,Northwest
ACT-0000003,SUB-00073,2026-07-04T14:31:00,APP_USAGE,3511.5,IOS,5G,N,SW-TWR-002,Southwest
ACT-0000004,SUB-00048,2026-07-17T23:39:00,APP_USAGE,4519.71,HOTSPOT,5G,N,SE-TWR-002,Southeast
ACT-0000005,SUB-00036,2026-07-21T04:17:00,APP_USAGE,3327.61,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000006,SUB-00037,2026-07-08T16:30:00,APP_USAGE,991.94,IOS,5G,N,SW-TWR-002,Southwest
ACT-0000007,SUB-00062,2026-07-14T11:26:00,ROAMING_EVENT,3519.84,IOT,5G,Y,NW-TWR-001,Northwest
ACT-0000008,SUB-00062,2026-07-21T20:31:00,DATA_SESSION,4627.33,IOT,5G,N,SW-TWR-001,Southwest
ACT-0000009,SUB-00092,2026-07-17T04:45:00,ROAMING_EVENT,4228.96,IOS,5G,Y,MW-TWR-002,Midwest
ACT-0000010,SUB-00026,2026-07-13T10:10:00,DATA_SESSION,735.9,HOTSPOT,5G,N,SE-TWR-002,Southeast
ACT-0000011,SUB-00077,2026-07-02T20:07:00,DEVICE_ATTACH,4658.57,HOTSPOT,4G,N,NW-TWR-003,Northwest
ACT-0000012,SUB-00071,2026-07-19T17:39:00,SMS,4898.74,HOTSPOT,5G,Y,NW-TWR-002,Northwest
ACT-0000013,SUB-00089,2026-07-03T15:55:00,ROAMING_EVENT,2940.02,HOTSPOT,5G,Y,MW-TWR-002,Midwest
ACT-0000014,SUB-00086,2026-07-17T08:57:00,SMS,2980.11,HOTSPOT,5G,N,MW-TWR-002,Midwest
ACT-0000015,SUB-00069,2026-07-18T08:39:00,APP_USAGE,3654.25,IOT,4G,N,NW-TWR-003,Northwest
ACT-0000016,SUB-00004,2026-07-01T06:47:00,DATA_SESSION,3764.02,IOT,5G,N,MW-TWR-003,Midwest
ACT-0000017,SUB-00072,2026-07-16T03:53:00,DEVICE_ATTACH,1375.32,IOS,5G,N,SE-TWR-003,Southeast
ACT-0000018,SUB-00015,2026-07-18T05:28:00,APP_USAGE,2441.89,HOTSPOT,5G,N,NW-TWR-001,Northwest
ACT-0000019,SUB-00055,2026-07-02T10:46:00,DEVICE_ATTACH,1302.0,HOTSPOT,5G,N,MW-TWR-003,Midwest
ACT-0000020,SUB-00026,2026-07-01T03:00:00,ROAMING_EVENT,3144.44,IOT,5G,Y,SW-TWR-003,Southwest
ACT-0000021,SUB-00067,2026-07-10T17:06:00,APP_USAGE,4882.66,HOTSPOT,5G,N,NW-TWR-002,Northwest
ACT-0000022,SUB-00061,2026-07-13T03:35:00,DATA_SESSION,2457.1,ANDROID,5G,N,SE-TWR-003,Southeast
ACT-0000023,SUB-00042,2026-07-22T20:25:00,DEVICE_ATTACH,1613.82,HOTSPOT,4G,N,NW-TWR-003,Northwest
ACT-0000024,SUB-00075,2026-07-24T14:57:00,SMS,2188.91,HOTSPOT,4G,N,NW-TWR-003,Northwest
ACT-0000025,SUB-00019,2026-07-12T04:37:00,ROAMING_EVENT,2039.01,ANDROID,5G,Y,MW-TWR-001,Midwest
ACT-0000026,SUB-00003,2026-07-03T20:38:00,APP_USAGE,4109.75,ANDROID,5G,N,SW-TWR-003,Southwest
ACT-0000027,SUB-00066,2026-07-27T08:15:00,APP_USAGE,2248.56,IOS,5G,N,NW-TWR-002,Northwest
ACT-0000028,SUB-00033,2026-07-08T13:27:00,APP_USAGE,2828.37,ANDROID,5G,N,SE-TWR-003,Southeast
ACT-0000029,SUB-00062,2026-07-09T08:54:00,APP_USAGE,2499.08,IOT,5G,Y,NW-TWR-001,Northwest
ACT-0000030,SUB-00080,2026-07-19T23:10:00,APP_USAGE,2013.36,IOS,5G,N,SW-TWR-002,Southwest
ACT-0000031,SUB-00001,2026-07-19T10:35:00,ROAMING_EVENT,2221.47,IOS,5G,Y,NW-TWR-002,Northwest
ACT-0000032,SUB-00082,2026-07-23T14:56:00,ROAMING_EVENT,258.23,ANDROID,5G,Y,MW-TWR-002,Midwest
ACT-0000033,SUB-00042,2026-07-05T11:24:00,DATA_SESSION,2140.82,IOT,5G,Y,NW-TWR-002,Northwest
ACT-0000034,SUB-00067,2026-07-05T21:24:00,SMS,3920.11,IOT,5G,N,SE-TWR-001,Southeast
ACT-0000035,SUB-00034,2026-07-18T15:34:00,SMS,3928.66,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000036,SUB-00050,2026-07-09T10:36:00,APP_USAGE,2622.0,IOS,5G,N,NW-TWR-001,Northwest
ACT-0000037,SUB-00049,2026-07-27T16:50:00,SMS,579.8,ANDROID,5G,N,SE-TWR-001,Southeast
ACT-0000038,SUB-00024,2026-07-02T04:22:00,APP_USAGE,2520.05,IOS,5G,N,SE-TWR-001,Southeast
ACT-0000039,SUB-00023,2026-07-18T02:17:00,DEVICE_ATTACH,825.71,ANDROID,5G,Y,SE-TWR-003,Southeast
ACT-0000040,SUB-00049,2026-07-08T19:32:00,SMS,1531.77,ANDROID,5G,N,MW-TWR-001,Midwest
ACT-0000041,SUB-00091,2026-07-05T16:31:00,SMS,678.09,IOT,5G,N,SE-TWR-003,Southeast
ACT-0000042,SUB-00061,2026-07-25T16:19:00,DATA_SESSION,4446.46,IOT,5G,N,SW-TWR-002,Southwest
ACT-0000043,SUB-00026,2026-07-25T16:55:00,DATA_SESSION,110.02,IOS,5G,N,MW-TWR-002,Midwest
ACT-0000044,SUB-00079,2026-07-27T16:47:00,DEVICE_ATTACH,4573.49,IOT,5G,Y,MW-TWR-002,Midwest
ACT-0000045,SUB-00015,2026-07-22T19:09:00,DEVICE_ATTACH,701.69,IOT,5G,N,SW-TWR-003,Southwest
ACT-0000046,SUB-00067,2026-07-23T04:26:00,DATA_SESSION,4511.07,IOS,5G,N,MW-TWR-002,Midwest
ACT-0000047,SUB-00019,2026-07-05T08:44:00,SMS,3062.55,HOTSPOT,5G,N,NW-TWR-001,Northwest
ACT-0000048,SUB-00052,2026-07-12T05:05:00,DEVICE_ATTACH,2971.57,IOS,5G,N,MW-TWR-002,Midwest
ACT-0000049,SUB-00026,2026-07-09T21:29:00,DEVICE_ATTACH,1894.39,ANDROID,5G,N,NW-TWR-001,Northwest
ACT-0000050,SUB-00036,2026-07-06T21:06:00,SMS,590.95,IOT,5G,N,MW-TWR-003,Midwest
ACT-0000051,SUB-00005,2026-07-02T16:21:00,ROAMING_EVENT,3044.07,HOTSPOT,5G,Y,MW-TWR-001,Midwest
ACT-0000052,SUB-00059,2026-07-20T07:19:00,DATA_SESSION,1943.91,ANDROID,5G,N,SW-TWR-003,Southwest
ACT-0000053,SUB-00091,2026-07-07T12:01:00,ROAMING_EVENT,1621.98,IOT,5G,Y,SE-TWR-003,Southeast
ACT-0000054,SUB-00090,2026-07-28T04:03:00,DATA_SESSION,4925.18,IOS,5G,N,MW-TWR-001,Midwest
ACT-0000055,SUB-00064,2026-07-06T13:31:00,DEVICE_ATTACH,3235.64,IOS,4G,N,NW-TWR-003,Northwest
ACT-0000056,SUB-00094,2026-07-08T23:09:00,APP_USAGE,883.15,HOTSPOT,5G,N,MW-TWR-001,Midwest
ACT-0000057,SUB-00054,2026-07-24T04:02:00,DATA_SESSION,4266.42,HOTSPOT,5G,N,NW-TWR-002,Northwest
ACT-0000058,SUB-00014,2026-07-28T17:37:00,DEVICE_ATTACH,3358.64,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000059,SUB-00072,2026-07-06T02:13:00,APP_USAGE,3838.46,ANDROID,5G,N,SW-TWR-002,Southwest
ACT-0000060,SUB-00012,2026-07-18T12:31:00,DEVICE_ATTACH,1400.41,IOS,5G,Y,NW-TWR-001,Northwest
ACT-0000061,SUB-00036,2026-07-19T18:35:00,DATA_SESSION,1857.68,ANDROID,5G,N,SE-TWR-003,Southeast
ACT-0000062,SUB-00079,2026-07-13T20:36:00,DATA_SESSION,2519.5,ANDROID,5G,Y,SW-TWR-003,Southwest
ACT-0000063,SUB-00045,2026-07-08T08:49:00,DATA_SESSION,2306.29,IOT,5G,N,SW-TWR-001,Southwest
ACT-0000064,SUB-00055,2026-07-14T15:01:00,SMS,1013.98,HOTSPOT,5G,Y,SW-TWR-002,Southwest
ACT-0000065,SUB-00093,2026-07-18T16:52:00,DATA_SESSION,3731.55,ANDROID,5G,Y,MW-TWR-002,Midwest
ACT-0000066,SUB-00047,2026-07-12T07:11:00,SMS,4426.72,IOT,5G,N,SW-TWR-002,Southwest
ACT-0000067,SUB-00089,2026-07-28T07:33:00,DEVICE_ATTACH,3535.18,IOT,5G,N,SW-TWR-002,Southwest
ACT-0000068,SUB-00049,2026-07-04T09:05:00,DEVICE_ATTACH,4883.24,ANDROID,5G,N,MW-TWR-002,Midwest
ACT-0000069,SUB-00006,2026-07-03T04:57:00,ROAMING_EVENT,1088.04,ANDROID,5G,Y,SW-TWR-003,Southwest
ACT-0000070,SUB-00040,2026-07-14T16:07:00,APP_USAGE,996.98,ANDROID,5G,N,MW-TWR-002,Midwest
ACT-0000071,SUB-00048,2026-07-15T17:45:00,APP_USAGE,2743.98,HOTSPOT,5G,N,SW-TWR-002,Southwest
ACT-0000072,SUB-00002,2026-07-09T16:07:00,APP_USAGE,1352.69,IOS,5G,N,SW-TWR-003,Southwest
ACT-0000073,SUB-00087,2026-07-27T14:31:00,APP_USAGE,2773.07,IOT,5G,N,MW-TWR-003,Midwest
ACT-0000074,SUB-00003,2026-07-03T01:54:00,SMS,4395.46,IOT,5G,N,SE-TWR-001,Southeast
ACT-0000075,SUB-00077,2026-07-08T23:39:00,ROAMING_EVENT,3800.32,ANDROID,5G,Y,NW-TWR-001,Northwest
ACT-0000076,SUB-00060,2026-07-26T05:28:00,APP_USAGE,4209.53,IOT,5G,N,MW-TWR-003,Midwest
ACT-0000077,SUB-00026,2026-07-04T18:29:00,DEVICE_ATTACH,2169.95,ANDROID,5G,N,NW-TWR-001,Northwest
ACT-0000078,SUB-00082,2026-07-04T08:40:00,SMS,1585.73,IOS,5G,N,MW-TWR-002,Midwest
ACT-0000079,SUB-00003,2026-07-26T16:41:00,APP_USAGE,4735.94,IOT,5G,N,SW-TWR-001,Southwest
ACT-0000080,SUB-00011,2026-07-05T13:11:00,SMS,3398.6,IOT,5G,Y,NW-TWR-002,Northwest
ACT-0000081,SUB-00004,2026-07-17T03:19:00,SMS,2730.93,IOT,5G,Y,NW-TWR-002,Northwest
ACT-0000082,SUB-00037,2026-07-17T15:32:00,ROAMING_EVENT,4472.89,HOTSPOT,5G,Y,MW-TWR-001,Midwest
ACT-0000083,SUB-00001,2026-07-04T20:10:00,APP_USAGE,2135.75,HOTSPOT,5G,N,MW-TWR-002,Midwest
ACT-0000084,SUB-00088,2026-07-19T06:48:00,DEVICE_ATTACH,1089.53,IOS,5G,Y,SE-TWR-001,Southeast
ACT-0000085,SUB-00011,2026-07-02T08:53:00,APP_USAGE,2621.5,HOTSPOT,5G,N,MW-TWR-003,Midwest
ACT-0000086,SUB-00030,2026-07-05T10:02:00,DATA_SESSION,3026.98,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000087,SUB-00061,2026-07-20T01:52:00,APP_USAGE,2570.54,IOS,5G,N,MW-TWR-001,Midwest
ACT-0000088,SUB-00071,2026-07-15T23:14:00,DATA_SESSION,4526.61,IOS,5G,N,SE-TWR-001,Southeast
ACT-0000089,SUB-00023,2026-07-19T02:45:00,DATA_SESSION,614.41,IOS,4G,Y,NW-TWR-003,Northwest
ACT-0000090,SUB-00038,2026-07-08T08:36:00,DEVICE_ATTACH,468.22,IOT,5G,N,MW-TWR-001,Midwest
ACT-0000091,SUB-00053,2026-07-15T15:52:00,SMS,3381.04,IOS,5G,Y,SW-TWR-001,Southwest
ACT-0000092,SUB-00070,2026-07-18T23:52:00,ROAMING_EVENT,4468.02,IOT,5G,Y,NW-TWR-002,Northwest
ACT-0000093,SUB-00045,2026-07-27T18:50:00,SMS,241.31,ANDROID,5G,N,MW-TWR-002,Midwest
ACT-0000094,SUB-00017,2026-07-02T14:05:00,DEVICE_ATTACH,2321.09,IOT,4G,N,NW-TWR-003,Northwest
ACT-0000095,SUB-00070,2026-07-23T11:23:00,DATA_SESSION,3105.02,IOS,5G,N,MW-TWR-002,Midwest
ACT-0000096,SUB-00041,2026-07-25T05:17:00,DEVICE_ATTACH,4787.45,HOTSPOT,5G,N,SE-TWR-002,Southeast
ACT-0000097,SUB-00002,2026-07-26T12:38:00,DATA_SESSION,3265.2,IOS,5G,N,MW-TWR-003,Midwest
ACT-0000098,SUB-00078,2026-07-02T07:23:00,SMS,4943.92,IOT,5G,N,SW-TWR-001,Southwest
ACT-0000099,SUB-00002,2026-07-11T00:26:00,DATA_SESSION,4159.99,IOT,4G,N,NW-TWR-003,Northwest
ACT-0000100,SUB-00055,2026-07-12T19:12:00,ROAMING_EVENT,654.66,IOT,4G,Y,NW-TWR-003,Northwest
ACT-0000101,SUB-00048,2026-07-28T19:20:00,DEVICE_ATTACH,467.09,ANDROID,5G,N,NW-TWR-001,Northwest
ACT-0000102,SUB-00014,2026-07-11T06:20:00,DEVICE_ATTACH,1629.6,ANDROID,5G,Y,SW-TWR-003,Southwest
ACT-0000103,SUB-00005,2026-07-14T07:20:00,DATA_SESSION,1212.65,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000104,SUB-00051,2026-07-05T04:58:00,DATA_SESSION,3005.86,IOT,5G,Y,SE-TWR-002,Southeast
ACT-0000105,SUB-00059,2026-07-23T03:30:00,DATA_SESSION,2723.23,IOS,5G,Y,SW-TWR-001,Southwest
ACT-0000106,SUB-00001,2026-07-26T11:55:00,DEVICE_ATTACH,248.09,IOT,5G,N,MW-TWR-001,Midwest
ACT-0000107,SUB-00047,2026-07-23T20:03:00,DATA_SESSION,2161.22,HOTSPOT,5G,N,SW-TWR-002,Southwest
ACT-0000108,SUB-00056,2026-07-07T02:10:00,ROAMING_EVENT,112.65,IOS,5G,Y,SW-TWR-003,Southwest
ACT-0000109,SUB-00058,2026-07-05T15:37:00,SMS,1075.66,ANDROID,5G,N,SE-TWR-003,Southeast
ACT-0000110,SUB-00004,2026-07-25T02:00:00,SMS,4750.86,IOS,5G,N,SE-TWR-003,Southeast
ACT-0000111,SUB-00082,2026-07-14T16:01:00,DEVICE_ATTACH,4834.25,IOS,5G,N,SW-TWR-003,Southwest
ACT-0000112,SUB-00050,2026-07-28T02:32:00,DATA_SESSION,4506.55,IOT,5G,N,SE-TWR-003,Southeast
ACT-0000113,SUB-00005,2026-07-04T09:26:00,SMS,1124.51,HOTSPOT,5G,N,MW-TWR-002,Midwest
ACT-0000114,SUB-00062,2026-07-26T17:08:00,DATA_SESSION,2367.22,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000115,SUB-00025,2026-07-19T04:18:00,DATA_SESSION,4385.38,HOTSPOT,5G,Y,SE-TWR-001,Southeast
ACT-0000116,SUB-00004,2026-07-02T02:58:00,DATA_SESSION,455.94,IOT,5G,N,SW-TWR-001,Southwest
ACT-0000117,SUB-00004,2026-07-08T06:07:00,ROAMING_EVENT,740.65,ANDROID,5G,Y,MW-TWR-003,Midwest
ACT-0000118,SUB-00040,2026-07-26T19:25:00,APP_USAGE,817.79,ANDROID,5G,N,SW-TWR-002,Southwest
ACT-0000119,SUB-00052,2026-07-02T18:50:00,APP_USAGE,4844.84,HOTSPOT,5G,N,SW-TWR-001,Southwest
ACT-0000120,SUB-00063,2026-07-05T00:16:00,SMS,3875.87,ANDROID,5G,N,SE-TWR-003,Southeast
ACT-0000121,SUB-00027,2026-07-06T15:28:00,ROAMING_EVENT,3100.5,IOS,5G,Y,MW-TWR-003,Midwest
ACT-0000122,SUB-00100,2026-07-17T20:23:00,DATA_SESSION,1183.69,ANDROID,5G,N,SW-TWR-002,Southwest
ACT-0000123,SUB-00012,2026-07-02T00:00:00,ROAMING_EVENT,535.64,HOTSPOT,5G,Y,SE-TWR-001,Southeast
ACT-0000124,SUB-00056,2026-07-18T08:41:00,ROAMING_EVENT,66.95,IOT,5G,Y,MW-TWR-001,Midwest
ACT-0000125,SUB-00079,2026-07-07T07:38:00,SMS,2799.08,IOT,5G,N,SE-TWR-002,Southeast
ACT-0000126,SUB-00053,2026-07-11T09:37:00,DEVICE_ATTACH,3902.68,HOTSPOT,5G,N,MW-TWR-002,Midwest
ACT-0000127,SUB-00057,2026-07-24T09:34:00,APP_USAGE,1627.6,HOTSPOT,5G,N,MW-TWR-003,Midwest
ACT-0000128,SUB-00002,2026-07-03T02:54:00,ROAMING_EVENT,880.29,IOT,5G,Y,SW-TWR-003,Southwest
ACT-0000129,SUB-00036,2026-07-27T10:12:00,ROAMING_EVENT,754.54,IOT,5G,Y,SE-TWR-001,Southeast
ACT-0000130,SUB-00097,2026-07-09T07:22:00,SMS,1309.91,IOS,5G,N,MW-TWR-001,Midwest
ACT-0000131,SUB-00043,2026-07-05T11:52:00,DEVICE_ATTACH,1794.19,HOTSPOT,4G,N,NW-TWR-003,Northwest
