event_id,subscriber_id,event_time,region,cell_tower_id,event_type,signal_strength_dbm,latency_ms,bytes_used
EVT-0001,SUB-61750,2026-07-20T08:19:00,Dallas,DAL-201,CALL_END,-116.38,127.18,0
EVT-0002,SUB-76510,2026-07-20T08:38:00,Dallas,DAL-201,CALL_START,-118.13,106.73,0
EVT-0003,SUB-21889,2026-07-20T08:57:00,Chicago,CHI-102,CALL_END,-117.04,133.09,0
EVT-0004,SUB-85642,2026-07-20T09:16:00,Chicago,CHI-102,CALL_START,-117.52,64.22,0
EVT-0005,SUB-47959,2026-07-20T09:35:00,Atlanta,ATL-302,CALL_END,-112.79,43.56,0
EVT-0006,SUB-23507,2026-07-20T09:54:00,Dallas,DAL-201,CALL_END,-101.38,129.55,0
EVT-0007,SUB-91134,2026-07-20T10:13:00,Chicago,CHI-101,CALL_START,-95.18,126.34,0
EVT-0008,SUB-86750,2026-07-20T10:32:00,Dallas,DAL-202,DROPPED_CALL,-101.92,69.69,0
EVT-0009,SUB-20728,2026-07-20T10:51:00,Chicago,CHI-102,CALL_END,-93.74,195.03,0
EVT-0010,SUB-47740,2026-07-20T11:10:00,Atlanta,ATL-301,DROPPED_CALL,-114.1,103.62,0
EVT-0011,SUB-74089,2026-07-20T11:29:00,Dallas,DAL-202,CALL_END,-118.04,153.64,0
EVT-0012,SUB-54580,2026-07-20T11:48:00,Atlanta,ATL-302,DATA_SESSION,-90.28,135.98,3827927
EVT-0013,SUB-45381,2026-07-20T12:07:00,Chicago,CHI-102,CALL_START,-85.15,33.0,0
EVT-0014,SUB-94820,2026-07-20T12:26:00,Atlanta,ATL-302,DATA_SESSION,-105.77,97.16,2911891
EVT-0015,SUB-56591,2026-07-20T12:45:00,Chicago,CHI-101,DROPPED_CALL,-89.45,118.74,0
EVT-0016,SUB-26952,2026-07-20T13:04:00,Chicago,CHI-101,DATA_SESSION,-100.11,203.36,4166000
EVT-0017,SUB-68875,2026-07-20T13:23:00,Chicago,CHI-102,CALL_END,-92.53,196.68,0
EVT-0018,SUB-64433,2026-07-20T13:42:00,Dallas,DAL-202,DATA_SESSION,-85.86,96.09,1936683
EVT-0019,SUB-33097,2026-07-20T14:01:00,Chicago,CHI-101,CALL_START,-108.4,66.67,0
EVT-0020,SUB-44438,2026-07-20T14:20:00,Dallas,DAL-202,CALL_END,-119.8,103.79,0
EVT-0021,SUB-26448,2026-07-20T14:39:00,Dallas,DAL-201,DATA_SESSION,-97.17,194.2,4692511
EVT-0022,SUB-62294,2026-07-20T14:58:00,Dallas,DAL-202,DROPPED_CALL,-114.82,146.86,0
EVT-0023,SUB-18827,2026-07-20T15:17:00,Chicago,CHI-101,CALL_END,-97.97,41.99,0
EVT-0024,SUB-23419,2026-07-20T15:36:00,Atlanta,ATL-301,CALL_START,-91.66,127.32,0
EVT-0025,SUB-19216,2026-07-20T15:55:00,Dallas,DAL-201,CALL_START,-89.3,49.71,0
EVT-0026,SUB-88941,2026-07-20T16:14:00,Dallas,DAL-202,DATA_SESSION,-96.29,43.07,4095211
EVT-0027,SUB-73417,2026-07-20T16:33:00,Dallas,DAL-202,DROPPED_CALL,-115.71,40.44,0
EVT-0028,SUB-72733,2026-07-20T16:52:00,Dallas,DAL-201,DATA_SESSION,-94.18,61.04,4432344
EVT-0029,SUB-81194,2026-07-20T17:11:00,Dallas,DAL-201,CALL_END,-82.09,79.62,0
EVT-0030,SUB-44224,2026-07-20T17:30:00,Atlanta,ATL-302,CALL_START,-74.59,91.14,0
EVT-0001,SUB-61750,2026-07-20T08:19:00,Dallas,DAL-201,CALL_END,-116.38,127.18,0
